detector_id,name,route,direction,lat,lon,lane
1069,Mainline sensor,I-94,EB,45.08846,-93.42418,0
1070,Mainline sensor,I-94,EB,45.08846,-93.42418,2
1071,Mainline sensor,I-94,WB,44.97987,-93.28723,0
1155,Mainline sensor,I-94,EB,45.08917,-93.42906,4
1241,Mainline sensor,I-94,EB,44.96463,-93.28355,0
1245,Mainline sensor,I-94,EB,44.97858,-93.2876,2
1308,Mainline sensor,I-94,EB,45.08917,-93.42906,1
1385,Mainline sensor,I-94,EB,44.99577,-93.28316,0
1459,Mainline sensor,I-94,EB,45.07816,-93.3786,3
1462,Mainline sensor,I-94,WB,45.07837,-93.37883,3
175,Mainline sensor,I-94,WB,44.96605,-93.26532,0
1890,Mainline sensor,I-94,WB,44.95088,-93.10487,0
1891,Mainline sensor,I-94,EB,44.95357,-93.09336,1
1892,Mainline sensor,I-94,EB,44.95357,-93.09336,2
1893,Mainline sensor,I-94,EB,44.95357,-93.09336,3
1894,Mainline sensor,I-94,EB,44.95377,-93.09101,0
1896,Mainline sensor,I-94,WB,44.95429,-93.09023,0
1897,Mainline sensor,I-94,WB,44.9545,-93.09098,1
1898,Mainline sensor,I-94,WB,44.9545,-93.09098,2
1899,Mainline sensor,I-94,WB,44.9545,-93.09098,3
1980,Mainline sensor,I-94,EB,45.08328,-93.40312,0
1981,Mainline sensor,I-94,EB,45.08149,-93.39767,0
1982,Mainline sensor,I-94,WB,45.08296,-93.40139,0
1999,Mainline sensor,I-94,WB,45.08454,-93.40626,0
21,Mainline sensor,I-94,EB,44.99296,-93.28463,1
22,Mainline sensor,I-94,EB,44.99296,-93.28463,2
23,Mainline sensor,I-94,EB,44.99296,-93.28463,3
24,Mainline sensor,I-94,EB,44.99296,-93.28463,4
2475,Mainline sensor,I-94,EB,44.95286,-93.08846,0
2485,Mainline sensor,I-94,EB,44.95033,-93.10403,1
2486,Mainline sensor,I-94,EB,44.95033,-93.10403,2
2487,Mainline sensor,I-94,EB,44.95033,-93.10403,3
2490,Mainline sensor,I-94,WB,44.95075,-93.10331,1
2491,Mainline sensor,I-94,WB,44.95075,-93.10331,2
2492,Mainline sensor,I-94,WB,44.95075,-93.10331,3
