detector_id,name,route,direction,lat,lon,lane
2381,Mainline sensor,I-35E,,44.95991,-93.09057,1
2469,Mainline sensor,I-35E,,44.95989,-93.0909,1
3351,Mainline sensor,I-35E,,44.84846,-93.15249,1
3368,Mainline sensor,I-35E,,44.88141,-93.1402,1
3382,Mainline sensor,I-35E,,44.90956,-93.1431,1
3435,Mainline sensor,I-35E,,44.92557,-93.1452,1
3443,Mainline sensor,I-35E,,44.90947,-93.1434,1
3447,Mainline sensor,I-35E,,44.90224,-93.1371,1
3470,Mainline sensor,I-35E,,44.84866,-93.15289,1
3761,Mainline sensor,I-35E,,44.83472,-93.16272,1
3769,Mainline sensor,I-35E,,44.84134,-93.15781,1
3780,Mainline sensor,I-35E,,44.84156,-93.15819,1
3785,Mainline sensor,I-35E,,44.8349,-93.16318,1
3816,Mainline sensor,I-35E,,44.78529,-93.20732,1
5472,Mainline sensor,I-35E,,45.02306,-93.08956,4
5478,Mainline sensor,I-35E,,45.0336,-93.08766,3
5483,Mainline sensor,I-35E,,45.0496,-93.05904,1
5485,Mainline sensor,I-35E,,45.0496,-93.05904,3
5491,Mainline sensor,I-35E,,45.04967,-93.05933,3
5500,Mainline sensor,I-35E,,45.03386,-93.08866,3
5501,Mainline sensor,I-35E,,45.02319,-93.08987,4
5538,Mainline sensor,I-35E,,45.03626,-93.07645,6
6580,Mainline sensor,I-35E,,45.02897,-93.08988,3
7132,Mainline sensor,I-35E,,44.97185,-93.08854,5
7133,Mainline sensor,I-35E,,44.97824,-93.08859,4
7134,Mainline sensor,I-35E,,44.97535,-93.08882,4
7548,Mainline sensor,I-35E,,44.98757,-93.08923,4
7549,Mainline sensor,I-35E,,44.99259,-93.08944,4
7550,Mainline sensor,I-35E,,44.99809,-93.08962,4
7551,Mainline sensor,I-35E,,45.00498,-93.08975,4
7552,Mainline sensor,I-35E,,45.01198,-93.08986,4
7556,Mainline sensor,I-35E,,45.02193,-93.08958,4
7557,Mainline sensor,I-35E,,45.012,-93.08957,4
7558,Mainline sensor,I-35E,,45.00496,-93.08944,4
7559,Mainline sensor,I-35E,,45.00008,-93.08936,4
7560,Mainline sensor,I-35E,,44.9926,-93.08913,4
7561,Mainline sensor,I-35E,,44.98758,-93.08891,4
7702,Mainline sensor,I-35E,,45.05777,-93.05706,3
7703,Mainline sensor,I-35E,,45.06445,-93.05546,3
7704,Mainline sensor,I-35E,,45.07415,-93.05246,3
7705,Mainline sensor,I-35E,,45.07421,-93.0528,3
7706,Mainline sensor,I-35E,,45.06469,-93.05569,3
7707,Mainline sensor,I-35E,,45.05731,-93.05746,3
7825,Mainline sensor,I-35E,,45.12354,-93.04948,3
7830,Mainline sensor,I-35E,,45.03824,-93.06382,3
7833,Mainline sensor,I-35E,,45.0381,-93.06344,3
7834,Mainline sensor,I-35E,,45.08962,-93.05232,3
7835,Mainline sensor,I-35E,,45.09423,-93.05184,3
7836,Mainline sensor,I-35E,,45.10435,-93.04993,3
7837,Mainline sensor,I-35E,,45.10888,-93.04918,3
7838,Mainline sensor,I-35E,,45.11688,-93.04941,3
7839,Mainline sensor,I-35E,,45.12503,-93.04928,3
2370,Mainline sensor,I-35E,NB,44.94965,-93.10189,1
2371,Mainline sensor,I-35E,NB,44.94965,-93.10189,2
2373,Mainline sensor,I-35E,NB,44.95388,-93.09314,1
2374,Mainline sensor,I-35E,NB,44.95388,-93.09314,2
2382,Mainline sensor,I-35E,NB,44.95991,-93.09057,2
2383,Mainline sensor,I-35E,NB,44.95991,-93.09057,3
2384,Mainline sensor,I-35E,NB,44.95991,-93.09057,4
2389,Mainline sensor,I-35E,NB,44.97185,-93.08854,1
2390,Mainline sensor,I-35E,NB,44.97185,-93.08854,2
2391,Mainline sensor,I-35E,NB,44.97185,-93.08854,3
2393,Mainline sensor,I-35E,NB,44.97824,-93.08859,1
2394,Mainline sensor,I-35E,NB,44.97824,-93.08859,2
2395,Mainline sensor,I-35E,NB,44.97824,-93.08859,3
2397,Mainline sensor,I-35E,NB,44.98758,-93.08891,1
2398,Mainline sensor,I-35E,NB,44.98758,-93.08891,2
2399,Mainline sensor,I-35E,NB,44.98758,-93.08891,3
2401,Mainline sensor,I-35E,NB,44.9926,-93.08913,1
2402,Mainline sensor,I-35E,NB,44.9926,-93.08913,2
2403,Mainline sensor,I-35E,NB,44.9926,-93.08913,3
2406,Mainline sensor,I-35E,NB,45.00008,-93.08936,1
2407,Mainline sensor,I-35E,NB,45.00008,-93.08936,2
2408,Mainline sensor,I-35E,NB,45.00008,-93.08936,3
2410,Mainline sensor,I-35E,NB,45.00496,-93.08944,1
2411,Mainline sensor,I-35E,NB,45.00496,-93.08944,2
2412,Mainline sensor,I-35E,NB,45.00496,-93.08944,3
2414,Mainline sensor,I-35E,NB,45.012,-93.08957,1
2415,Mainline sensor,I-35E,NB,45.012,-93.08957,2
2416,Mainline sensor,I-35E,NB,45.012,-93.08957,3
2419,Mainline sensor,I-35E,NB,45.02306,-93.08956,1
2420,Mainline sensor,I-35E,NB,45.02306,-93.08956,2
2421,Mainline sensor,I-35E,NB,45.02306,-93.08956,3
3352,Mainline sensor,I-35E,NB,44.84846,-93.15249,2
3353,Mainline sensor,I-35E,NB,44.84846,-93.15249,3
3354,Mainline sensor,I-35E,NB,44.84846,-93.15249,4
3356,Mainline sensor,I-35E,NB,44.86076,-93.14543,1
3357,Mainline sensor,I-35E,NB,44.86076,-93.14543,2
3358,Mainline sensor,I-35E,NB,44.86076,-93.14543,3
3365,Mainline sensor,I-35E,NB,44.87402,-93.14343,1
3366,Mainline sensor,I-35E,NB,44.87402,-93.14343,2
3367,Mainline sensor,I-35E,NB,44.87402,-93.14343,3
3369,Mainline sensor,I-35E,NB,44.88141,-93.1402,2
3370,Mainline sensor,I-35E,NB,44.88141,-93.1402,3
3373,Mainline sensor,I-35E,NB,44.88866,-93.13195,1
3374,Mainline sensor,I-35E,NB,44.88866,-93.13195,2
3375,Mainline sensor,I-35E,NB,44.89518,-93.13128,1
3376,Mainline sensor,I-35E,NB,44.89518,-93.13128,2
3378,Mainline sensor,I-35E,NB,44.89971,-93.13464,1
3379,Mainline sensor,I-35E,NB,44.89971,-93.13464,2
3383,Mainline sensor,I-35E,NB,44.90956,-93.1431,2
3385,Mainline sensor,I-35E,NB,44.91509,-93.14421,1
3386,Mainline sensor,I-35E,NB,44.91509,-93.14421,2
3389,Mainline sensor,I-35E,NB,44.92558,-93.14489,1
3390,Mainline sensor,I-35E,NB,44.92558,-93.14489,2
3391,Mainline sensor,I-35E,NB,44.92946,-93.14293,1
3392,Mainline sensor,I-35E,NB,44.92946,-93.14293,2
3394,Mainline sensor,I-35E,NB,44.93144,-93.13367,1
3395,Mainline sensor,I-35E,NB,44.93144,-93.13367,2
3397,Mainline sensor,I-35E,NB,44.93497,-93.12549,1
3398,Mainline sensor,I-35E,NB,44.93497,-93.12549,2
3401,Mainline sensor,I-35E,NB,44.93991,-93.11547,1
3402,Mainline sensor,I-35E,NB,44.93991,-93.11547,2
3404,Mainline sensor,I-35E,NB,44.9459,-93.10546,1
3405,Mainline sensor,I-35E,NB,44.9459,-93.10546,2
3475,Mainline sensor,I-35E,NB,44.90956,-93.1431,3
T3589,Mainline sensor,I-35E,NB,44.94518,-93.10649,1
T3590,Mainline sensor,I-35E,NB,44.94518,-93.10649,2
T3593,Mainline sensor,I-35E,NB,44.94934,-93.10211,1
T3594,Mainline sensor,I-35E,NB,44.94934,-93.10211,2
T3597,Mainline sensor,I-35E,NB,44.95405,-93.09279,1
T3598,Mainline sensor,I-35E,NB,44.95405,-93.09279,2
T3601,Mainline sensor,I-35E,NB,44.95881,-93.09061,1
