detector_name,route,direction,lat,lon,lane
3707,I-35E,NB,44.75311,-93.26185,1
3708,I-35E,NB,44.75311,-93.26185,2
3711,I-35E,NB,44.75685,-93.25318,0
3709,I-35E,NB,44.75754,-93.25151,1
3710,I-35E,NB,44.75754,-93.25151,2
3712,I-35E,NB,44.76091,-93.24488,1
3713,I-35E,NB,44.76091,-93.24488,2
3714,I-35E,NB,44.76192,-93.24327,0
3715,I-35E,NB,44.76192,-93.24327,0
4560,I-35E,NB,44.76192,-93.24327,0
3716,I-35E,NB,44.76595,-93.23678,1
3717,I-35E,NB,44.76595,-93.23678,2
3720,I-35E,NB,44.77529,-93.22145,0
3718,I-35E,NB,44.77579,-93.2211,1
3719,I-35E,NB,44.77579,-93.2211,2
3722,I-35E,NB,44.77724,-93.21841,0
3724,I-35E,NB,44.77996,-93.21443,1
3725,I-35E,NB,44.77996,-93.21443,2
3726,I-35E,NB,44.78111,-93.21217,0
4500,I-35E,NB,44.78111,-93.21217,0
3727,I-35E,NB,44.78509,-93.20706,1
3728,I-35E,NB,44.78509,-93.20706,2
3729,I-35E,NB,44.78509,-93.20706,3
3730,I-35E,NB,44.7871,-93.20461,0
3731,I-35E,NB,44.79144,-93.20033,1
3732,I-35E,NB,44.79144,-93.20033,2
3733,I-35E,NB,44.79144,-93.20033,3
3734,I-35E,NB,44.79387,-93.19844,0
3735,I-35E,NB,44.79387,-93.19844,0
3736,I-35E,NB,44.79387,-93.19844,0
4501,I-35E,NB,44.79387,-93.19844,0
3737,I-35E,NB,44.7973,-93.19583,1
3738,I-35E,NB,44.7973,-93.19583,2
3739,I-35E,NB,44.7973,-93.19583,3
3740,I-35E,NB,44.80063,-93.19329,0
3741,I-35E,NB,44.80372,-93.19091,1
3742,I-35E,NB,44.80372,-93.19091,2
3743,I-35E,NB,44.80372,-93.19091,3
3744,I-35E,NB,44.80888,-93.18687,0
3745,I-35E,NB,44.80888,-93.18687,0
4502,I-35E,NB,44.80888,-93.18687,0
3746,I-35E,NB,44.8101,-93.18552,1
